"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2018","8,360.0","8,500.0","8,550.0","8,300.0","12.68K","-1.65%"
"Jun 15, 2018","8,500.0","8,450.0","8,500.0","8,300.0","33.79K","0.71%"
"Jun 14, 2018","8,440.0","8,300.0","8,440.0","8,200.0","90.00K","0.96%"
"Jun 13, 2018","8,360.0","8,330.0","8,390.0","8,330.0","20.98K","0.12%"
"Jun 12, 2018","8,350.0","8,400.0","8,400.0","8,100.0","5.58K","-0.60%"
"Jun 11, 2018","8,400.0","8,300.0","8,400.0","8,300.0","15.81K","1.82%"
"Jun 08, 2018","8,250.0","8,150.0","8,490.0","8,100.0","23.95K","0.36%"
"Jun 07, 2018","8,220.0","8,440.0","8,440.0","8,160.0","21.01K","0.00%"
"Jun 06, 2018","8,220.0","8,590.0","8,590.0","8,200.0","30.41K","0.24%"
"Jun 05, 2018","8,200.0","8,600.0","8,600.0","8,200.0","72.74K","-3.42%"
"Jun 04, 2018","8,490.0","8,590.0","8,590.0","8,300.0","17.67K","3.54%"
"Jun 01, 2018","8,200.0","8,500.0","8,600.0","8,200.0","12.03K","-3.53%"
"May 31, 2018","8,500.0","8,600.0","8,600.0","8,500.0","6.52K","0.00%"
"May 30, 2018","8,500.0","8,400.0","8,600.0","8,400.0","5.00K","-1.39%"
"May 29, 2018","8,620.0","8,500.0","8,620.0","8,300.0","20.72K","2.62%"
"May 28, 2018","8,400.0","8,650.0","8,650.0","7,720.0","34.77K","1.20%"
"May 25, 2018","8,300.0","8,600.0","8,600.0","8,300.0","7.55K","-3.38%"
"May 24, 2018","8,590.0","8,600.0","8,690.0","8,300.0","19.15K","-0.12%"
"May 23, 2018","8,600.0","8,790.0","8,790.0","8,200.0","6.06K","3.49%"
"May 22, 2018","8,310.0","8,700.0","8,700.0","8,310.0","4.30K","-5.57%"
"May 21, 2018","8,800.0","9,190.0","9,190.0","8,430.0","5.78K","0.69%"
"May 18, 2018","8,740.0","8,800.0","8,800.0","8,740.0","5.56K","-0.68%"
"May 17, 2018","8,800.0","8,890.0","8,890.0","8,800.0","1.25K","-1.01%"
"May 16, 2018","8,890.0","9,100.0","9,100.0","8,700.0","8.72K","2.18%"
"May 15, 2018","8,700.0","8,850.0","8,890.0","8,600.0","11.93K","-2.14%"
"May 14, 2018","8,890.0","8,880.0","8,900.0","8,600.0","6.66K","0.11%"
"May 11, 2018","8,880.0","8,850.0","8,900.0","8,530.0","3.38K","-0.11%"
"May 10, 2018","8,890.0","8,900.0","8,950.0","8,600.0","20.43K","2.18%"
"May 09, 2018","8,700.0","8,450.0","8,940.0","8,450.0","14.91K","-2.68%"
"May 08, 2018","8,940.0","8,990.0","8,990.0","8,800.0","11.53K","-0.56%"
"May 07, 2018","8,990.0","9,000.0","9,000.0","8,900.0","41.58K","1.70%"
"May 04, 2018","8,840.0","8,801.0","8,840.0","8,713.0","25.76K","0.00%"
"May 03, 2018","8,840.0","8,801.0","8,899.0","8,664.0","11.88K","-1.42%"
"May 02, 2018","8,967.0","8,615.0","9,094.0","8,615.0","16.29K","1.77%"
"Apr 27, 2018","8,811.0","8,899.0","8,996.0","8,801.0","14.81K","-0.99%"
"Apr 26, 2018","8,899.0","9,094.0","9,094.0","8,801.0","43.08K","-2.14%"
"Apr 24, 2018","9,094.0","9,094.0","9,290.0","8,811.0","27.13K","-2.22%"
"Apr 23, 2018","9,300.0","9,500.0","9,500.0","9,300.0","43.63K","-2.21%"
"Apr 20, 2018","9,510.0","9,500.0","9,510.0","9,400.0","5.70K","0.00%"
"Apr 19, 2018","9,510.0","9,510.0","9,510.0","9,400.0","11.43K","0.00%"
"Apr 18, 2018","9,510.0","9,150.0","9,510.0","9,150.0","24.14K","-1.96%"
"Apr 17, 2018","9,700.0","9,800.0","9,800.0","9,410.0","38.50K","-1.02%"
"Apr 16, 2018","9,800.0","9,790.0","10,000.0","9,400.0","66.70K","2.08%"
"Apr 13, 2018","9,600.0","9,380.0","9,850.0","9,360.0","77.06K","3.78%"
"Apr 12, 2018","9,250.0","9,050.0","9,250.0","9,000.0","30.76K","2.66%"
"Apr 11, 2018","9,010.0","9,050.0","9,100.0","9,000.0","76.35K","-0.44%"
"Apr 10, 2018","9,050.0","9,010.0","9,060.0","8,900.0","89.18K","0.44%"
