"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23, 2018","44,162.0","43,814.0","44,337.0","43,553.0","1.64K","-0.59%"
"Feb 22, 2018","44,424.0","44,424.0","44,424.0","43,553.0","0.06K","-0.97%"
"Feb 21, 2018","44,859.0","44,424.0","44,859.0","43,553.0","0.17K","0.00%"
"Feb 13, 2018","44,859.0","42,595.0","45,469.0","42,595.0","8.03K","5.32%"
"Feb 12, 2018","42,595.0","42,595.0","42,595.0","42,246.0","0.92K","0.00%"
"Feb 09, 2018","42,595.0","42,420.0","43,117.0","42,333.0","3.33K","-1.21%"
"Feb 08, 2018","43,117.0","42,333.0","43,553.0","42,333.0","20.55K","-1.00%"
"Feb 07, 2018","43,553.0","40,243.0","43,901.0","40,243.0","47.49K","4.39%"
"Feb 06, 2018","41,723.0","41,811.0","42,420.0","39,154.0","7.70K","-0.21%"
"Feb 05, 2018","41,811.0","41,898.0","43,161.0","40,940.0","4.26K","-3.22%"
"Feb 02, 2018","43,204.0","43,466.0","43,466.0","42,682.0","0.14K","-0.60%"
"Feb 01, 2018","43,466.0","44,772.0","44,772.0","43,378.0","4.91K","-2.16%"
"Jan 31, 2018","44,424.0","42,290.0","44,685.0","41,811.0","4.70K","6.25%"
"Jan 30, 2018","41,811.0","41,811.0","42,246.0","41,811.0","11.09K","-1.03%"
"Jan 29, 2018","42,246.0","42,246.0","42,595.0","41,027.0","27.48K","0.00%"
"Jan 26, 2018","42,246.0","40,504.0","43,553.0","40,504.0","16.64K","3.19%"
"Jan 25, 2018","40,940.0","41,375.0","42,072.0","39,633.0","107.98K","0.00%"
"Jan 22, 2018","40,940.0","40,940.0","40,940.0","40,504.0","26.65K","0.00%"
"Jan 19, 2018","40,940.0","41,811.0","41,811.0","40,765.0","25.81K","-2.08%"
"Jan 18, 2018","41,811.0","41,157.0","43,466.0","40,940.0","37.74K","-3.81%"
"Jan 17, 2018","43,466.0","42,856.0","43,466.0","42,856.0","1.66K","-0.20%"
"Jan 16, 2018","43,553.0","43,553.0","43,553.0","42,682.0","14.42K","0.00%"
"Jan 15, 2018","43,553.0","41,811.0","44,424.0","41,811.0","85.93K","3.09%"
"Jan 12, 2018","42,246.0","42,595.0","42,595.0","42,246.0","20.70K","-1.02%"
"Jan 11, 2018","42,682.0","42,682.0","42,682.0","42,290.0","5.43K","0.00%"
"Jan 10, 2018","42,682.0","42,682.0","43,117.0","42,246.0","6.61K","0.00%"
"Jan 09, 2018","42,682.0","40,591.0","42,682.0","40,591.0","6.86K","5.15%"
"Jan 08, 2018","40,591.0","40,635.0","40,809.0","40,504.0","2.05K","-0.53%"
"Jan 05, 2018","40,809.0","40,199.0","40,852.0","40,199.0","1.63K","-0.11%"
"Jan 04, 2018","40,852.0","40,896.0","40,896.0","40,068.0","7.80K","-0.11%"
"Jan 03, 2018","40,896.0","40,940.0","40,940.0","40,112.0","2.23K","-0.11%"
"Jan 02, 2018","40,940.0","40,940.0","41,288.0","39,372.0","39.75K","0.00%"
"Dec 29, 2017","40,940.0","40,940.0","40,940.0","38,675.0","3.41K","-0.10%"
"Dec 28, 2017","40,983.0","41,767.0","41,767.0","39,197.0","24.39K","-0.11%"
"Dec 27, 2017","41,027.0","41,811.0","41,985.0","41,027.0","8.15K","-1.88%"
"Dec 26, 2017","41,811.0","41,811.0","42,072.0","41,549.0","9.00K","-0.41%"
"Dec 25, 2017","41,985.0","41,636.0","41,985.0","40,940.0","3.01K","1.47%"
"Dec 22, 2017","41,375.0","41,375.0","43,117.0","41,375.0","42.87K","0.00%"
"Dec 21, 2017","41,375.0","42,682.0","42,682.0","41,027.0","15.35K","-3.06%"
"Dec 20, 2017","42,682.0","43,553.0","43,553.0","42,682.0","11.88K","-2.00%"
"Dec 19, 2017","43,553.0","44,337.0","44,337.0","43,378.0","3.05K","-1.96%"
"Dec 18, 2017","44,424.0","44,075.0","44,424.0","43,117.0","16.08K","0.00%"
"Dec 15, 2017","44,424.0","46,079.0","46,079.0","44,424.0","20.57K","-3.23%"
"Dec 14, 2017","45,905.0","46,166.0","46,166.0","45,295.0","6.59K","-0.57%"
"Dec 13, 2017","46,166.0","46,166.0","46,166.0","46,166.0","0.78K","0.00%"
"Dec 12, 2017","46,166.0","46,601.0","46,601.0","45,730.0","36.09K","-0.93%"
"Dec 11, 2017","46,601.0","47,560.0","47,908.0","45,295.0","51.12K","-2.73%"
"Dec 08, 2017","47,908.0","47,908.0","47,908.0","47,472.0","0.78K","-0.36%"
"Dec 07, 2017","48,082.0","47,908.0","48,169.0","47,472.0","5.41K","0.00%"
"Dec 06, 2017","48,082.0","47,037.0","48,343.0","47,037.0","6.59K","0.36%"
